popSize ,eliteSize ,mutationRate ,generations ,finalDistance      ,finalStress        ,params
     50 ,       10 ,        0.01 ,        100 ,1192.4977613556994 ,5387.6             ,50_10_0.01_100
     50 ,       10 ,        0.01 ,        200 ,1021.4761626184992 ,6445.8             ,50_10_0.01_200
     50 ,       10 ,        0.01 ,        500 , 927.4228001632634 ,6231.8             ,50_10_0.01_500
     50 ,       10 ,        0.05 ,        100 ,1900.4513796711117 ,7578.200000000001  ,50_10_0.05_100
     50 ,       10 ,        0.05 ,        200 ,1939.0486267705692 ,7276.200000000001  ,50_10_0.05_200
     50 ,       10 ,        0.05 ,        500 ,1906.3960649221674 ,6303.2             ,50_10_0.05_500
     50 ,       10 ,        0.1  ,        100 ,2167.099993367619  ,6886.0             ,50_10_0.1_100
     50 ,       10 ,        0.1  ,        200 ,2104.441958953043  ,7528.0             ,50_10_0.1_200
     50 ,       10 ,        0.1  ,        500 ,2079.8077030088075 ,5520.599999999999  ,50_10_0.1_500
     50 ,       20 ,        0.01 ,        100 ,1205.3582605069846 ,6261.4             ,50_20_0.01_100
     50 ,       20 ,        0.01 ,        200 ,1054.0963586532853 ,6236.8             ,50_20_0.01_200
     50 ,       20 ,        0.01 ,        500 , 904.1547477144662 ,6396.8             ,50_20_0.01_500
     50 ,       20 ,        0.05 ,        100 ,2093.8743985542956 ,6300.199999999999  ,50_20_0.05_100
     50 ,       20 ,        0.05 ,        200 ,2008.9797795471507 ,6494.4             ,50_20_0.05_200
     50 ,       20 ,        0.05 ,        500 ,1975.9991664934062 ,8230.599999999999  ,50_20_0.05_500
     50 ,       20 ,        0.1  ,        100 ,2103.404493621479  ,6324.0             ,50_20_0.1_100
     50 ,       20 ,        0.1  ,        200 ,2235.194395806693  ,7174.8             ,50_20_0.1_200
     50 ,       20 ,        0.1  ,        500 ,2114.990897149486  ,7194.2             ,50_20_0.1_500
     50 ,       30 ,        0.01 ,        100 ,1425.7958837423976 ,6868.6             ,50_30_0.01_100
     50 ,       30 ,        0.01 ,        200 ,1208.0398800443018 ,6281.0             ,50_30_0.01_200
     50 ,       30 ,        0.01 ,        500 ,1022.1478618313967 ,5889.0             ,50_30_0.01_500
     50 ,       30 ,        0.05 ,        100 ,1994.1725824373384 ,6396.0             ,50_30_0.05_100
     50 ,       30 ,        0.05 ,        200 ,1849.999875751516  ,7144.999999999998  ,50_30_0.05_200
     50 ,       30 ,        0.05 ,        500 ,1912.752781016758  ,4896.599999999999  ,50_30_0.05_500
     50 ,       30 ,        0.1  ,        100 ,2285.8128112488303 ,6766.6             ,50_30_0.1_100
     50 ,       30 ,        0.1  ,        200 ,2186.6584299065257 ,6821.4             ,50_30_0.1_200
     50 ,       30 ,        0.1  ,        500 ,2201.7514658135797 ,6216.4             ,50_30_0.1_500
     50 ,       10 ,        0.01 ,        100 ,1192.4977613556994 ,5387.6             ,50_10_0.01_100
     50 ,       10 ,        0.01 ,        200 ,1021.4761626184992 ,6445.8             ,50_10_0.01_200
     50 ,       10 ,        0.01 ,        500 , 927.4228001632634 ,6231.8             ,50_10_0.01_500
     50 ,       10 ,        0.05 ,        100 ,1900.4513796711117 ,7578.200000000001  ,50_10_0.05_100
     50 ,       10 ,        0.05 ,        200 ,1939.0486267705692 ,7276.200000000001  ,50_10_0.05_200
     50 ,       10 ,        0.05 ,        500 ,1906.3960649221674 ,6303.2             ,50_10_0.05_500
     50 ,       10 ,        0.1  ,        100 ,2167.099993367619  ,6886.0             ,50_10_0.1_100
     50 ,       10 ,        0.1  ,        200 ,2104.441958953043  ,7528.0             ,50_10_0.1_200
     50 ,       10 ,        0.1  ,        500 ,2079.8077030088075 ,5520.599999999999  ,50_10_0.1_500
     50 ,       20 ,        0.01 ,        100 ,1205.3582605069846 ,6261.4             ,50_20_0.01_100
     50 ,       20 ,        0.01 ,        200 ,1054.0963586532853 ,6236.8             ,50_20_0.01_200
     50 ,       20 ,        0.01 ,        500 , 904.1547477144662 ,6396.8             ,50_20_0.01_500
     50 ,       20 ,        0.05 ,        100 ,2093.8743985542956 ,6300.199999999999  ,50_20_0.05_100
     50 ,       20 ,        0.05 ,        200 ,2008.9797795471507 ,6494.4             ,50_20_0.05_200
     50 ,       20 ,        0.05 ,        500 ,1975.9991664934062 ,8230.599999999999  ,50_20_0.05_500
     50 ,       20 ,        0.1  ,        100 ,2103.404493621479  ,6324.0             ,50_20_0.1_100
     50 ,       20 ,        0.1  ,        200 ,2235.194395806693  ,7174.8             ,50_20_0.1_200
     50 ,       20 ,        0.1  ,        500 ,2114.990897149486  ,7194.2             ,50_20_0.1_500
     50 ,       30 ,        0.01 ,        100 ,1425.7958837423976 ,6868.6             ,50_30_0.01_100
     50 ,       30 ,        0.01 ,        200 ,1208.0398800443018 ,6281.0             ,50_30_0.01_200
     50 ,       30 ,        0.01 ,        500 ,1022.1478618313967 ,5889.0             ,50_30_0.01_500
     50 ,       30 ,        0.05 ,        100 ,1994.1725824373384 ,6396.0             ,50_30_0.05_100
     50 ,       30 ,        0.05 ,        200 ,1849.999875751516  ,7144.999999999998  ,50_30_0.05_200
     50 ,       30 ,        0.05 ,        500 ,1912.752781016758  ,4896.599999999999  ,50_30_0.05_500
     50 ,       30 ,        0.1  ,        100 ,2285.8128112488303 ,6766.6             ,50_30_0.1_100
     50 ,       30 ,        0.1  ,        200 ,2186.6584299065257 ,6821.4             ,50_30_0.1_200
     50 ,       30 ,        0.1  ,        500 ,2201.7514658135797 ,6216.4             ,50_30_0.1_500
    100 ,       10 ,        0.01 ,        100 ,1149.102302234323  ,5730.4             ,100_10_0.01_100
    100 ,       10 ,        0.01 ,        200 ,1062.5824611410296 ,6203.4             ,100_10_0.01_200
    100 ,       10 ,        0.01 ,        500 , 967.0369476715927 ,6139.0             ,100_10_0.01_500
    100 ,       10 ,        0.05 ,        100 ,1722.310533087446  ,5265.0             ,100_10_0.05_100
    100 ,       10 ,        0.05 ,        200 ,1985.0106928779512 ,7485.5999999999985 ,100_10_0.05_200
    100 ,       10 ,        0.05 ,        500 ,1915.0010251220444 ,6797.6             ,100_10_0.05_500
    100 ,       10 ,        0.1  ,        100 ,2043.906618359917  ,7219.2             ,100_10_0.1_100
    100 ,       10 ,        0.1  ,        200 ,2183.878611244141  ,6197.8             ,100_10_0.1_200
    100 ,       10 ,        0.1  ,        500 ,2110.4310370472913 ,6079.6             ,100_10_0.1_500
    100 ,       20 ,        0.01 ,        100 ,1093.317916059876  ,6480.0             ,100_20_0.01_100
    100 ,       20 ,        0.01 ,        200 , 980.0898463868302 ,6094.0             ,100_20_0.01_200
    100 ,       20 ,        0.01 ,        500 , 948.1676941591196 ,6140.8             ,100_20_0.01_500
    100 ,       20 ,        0.05 ,        100 ,1461.7213251001074 ,5190.0             ,100_20_0.05_100
    100 ,       20 ,        0.05 ,        200 ,1924.5324540608892 ,6465.199999999999  ,100_20_0.05_200
    100 ,       20 ,        0.05 ,        500 ,1867.8574417383074 ,6371.6             ,100_20_0.05_500
    100 ,       20 ,        0.1  ,        100 ,2228.609639780037  ,7803.599999999999  ,100_20_0.1_100
    100 ,       20 ,        0.1  ,        200 ,2022.307043597227  ,5181.4             ,100_20_0.1_200
    100 ,       20 ,        0.1  ,        500 ,1997.0658362162715 ,6218.200000000001  ,100_20_0.1_500
    100 ,       30 ,        0.01 ,        100 ,1055.9124130783443 ,5791.2             ,100_30_0.01_100
    100 ,       30 ,        0.01 ,        200 ,1049.6044441330382 ,5759.2             ,100_30_0.01_200
    100 ,       30 ,        0.01 ,        500 , 988.2961683409719 ,6024.2             ,100_30_0.01_500
    100 ,       30 ,        0.05 ,        100 ,1603.1737717358494 ,5755.8             ,100_30_0.05_100
    100 ,       30 ,        0.05 ,        200 ,1717.7254945509007 ,6962.6             ,100_30_0.05_200
    100 ,       30 ,        0.05 ,        500 ,1592.6535667483674 ,6798.8             ,100_30_0.05_500
    100 ,       30 ,        0.1  ,        100 ,2162.968232036082  ,6631.4             ,100_30_0.1_100
    100 ,       30 ,        0.1  ,        200 ,2057.0246001992286 ,6835.799999999999  ,100_30_0.1_200
    100 ,       30 ,        0.1  ,        500 ,1822.7907553000757 ,6216.4             ,100_30_0.1_500
     50 ,       10 ,        0.01 ,        100 ,1192.4977613556994 ,5387.6             ,50_10_0.01_100
     50 ,       10 ,        0.01 ,        200 ,1021.4761626184992 ,6445.8             ,50_10_0.01_200
     50 ,       10 ,        0.01 ,        500 , 927.4228001632634 ,6231.8             ,50_10_0.01_500
     50 ,       10 ,        0.05 ,        100 ,1900.4513796711117 ,7578.200000000001  ,50_10_0.05_100
     50 ,       10 ,        0.05 ,        200 ,1939.0486267705692 ,7276.200000000001  ,50_10_0.05_200
     50 ,       10 ,        0.05 ,        500 ,1906.3960649221674 ,6303.2             ,50_10_0.05_500
     50 ,       10 ,        0.1  ,        100 ,2167.099993367619  ,6886.0             ,50_10_0.1_100
     50 ,       10 ,        0.1  ,        200 ,2104.441958953043  ,7528.0             ,50_10_0.1_200
     50 ,       10 ,        0.1  ,        500 ,2079.8077030088075 ,5520.599999999999  ,50_10_0.1_500
     50 ,       20 ,        0.01 ,        100 ,1205.3582605069846 ,6261.4             ,50_20_0.01_100
     50 ,       20 ,        0.01 ,        200 ,1054.0963586532853 ,6236.8             ,50_20_0.01_200
     50 ,       20 ,        0.01 ,        500 , 904.1547477144662 ,6396.8             ,50_20_0.01_500
     50 ,       20 ,        0.05 ,        100 ,2093.8743985542956 ,6300.199999999999  ,50_20_0.05_100
     50 ,       20 ,        0.05 ,        200 ,2008.9797795471507 ,6494.4             ,50_20_0.05_200
     50 ,       20 ,        0.05 ,        500 ,1975.9991664934062 ,8230.599999999999  ,50_20_0.05_500
     50 ,       20 ,        0.1  ,        100 ,2103.404493621479  ,6324.0             ,50_20_0.1_100
     50 ,       20 ,        0.1  ,        200 ,2235.194395806693  ,7174.8             ,50_20_0.1_200
     50 ,       20 ,        0.1  ,        500 ,2114.990897149486  ,7194.2             ,50_20_0.1_500
     50 ,       30 ,        0.01 ,        100 ,1425.7958837423976 ,6868.6             ,50_30_0.01_100
     50 ,       30 ,        0.01 ,        200 ,1208.0398800443018 ,6281.0             ,50_30_0.01_200
     50 ,       30 ,        0.01 ,        500 ,1022.1478618313967 ,5889.0             ,50_30_0.01_500
     50 ,       30 ,        0.05 ,        100 ,1994.1725824373384 ,6396.0             ,50_30_0.05_100
     50 ,       30 ,        0.05 ,        200 ,1849.999875751516  ,7144.999999999998  ,50_30_0.05_200
     50 ,       30 ,        0.05 ,        500 ,1912.752781016758  ,4896.599999999999  ,50_30_0.05_500
     50 ,       30 ,        0.1  ,        100 ,2285.8128112488303 ,6766.6             ,50_30_0.1_100
     50 ,       30 ,        0.1  ,        200 ,2186.6584299065257 ,6821.4             ,50_30_0.1_200
     50 ,       30 ,        0.1  ,        500 ,2201.7514658135797 ,6216.4             ,50_30_0.1_500
    100 ,       10 ,        0.01 ,        100 ,1149.102302234323  ,5730.4             ,100_10_0.01_100
    100 ,       10 ,        0.01 ,        200 ,1062.5824611410296 ,6203.4             ,100_10_0.01_200
    100 ,       10 ,        0.01 ,        500 , 967.0369476715927 ,6139.0             ,100_10_0.01_500
    100 ,       10 ,        0.05 ,        100 ,1722.310533087446  ,5265.0             ,100_10_0.05_100
    100 ,       10 ,        0.05 ,        200 ,1985.0106928779512 ,7485.5999999999985 ,100_10_0.05_200
    100 ,       10 ,        0.05 ,        500 ,1915.0010251220444 ,6797.6             ,100_10_0.05_500
    100 ,       10 ,        0.1  ,        100 ,2043.906618359917  ,7219.2             ,100_10_0.1_100
    100 ,       10 ,        0.1  ,        200 ,2183.878611244141  ,6197.8             ,100_10_0.1_200
    100 ,       10 ,        0.1  ,        500 ,2110.4310370472913 ,6079.6             ,100_10_0.1_500
    100 ,       20 ,        0.01 ,        100 ,1093.317916059876  ,6480.0             ,100_20_0.01_100
    100 ,       20 ,        0.01 ,        200 , 980.0898463868302 ,6094.0             ,100_20_0.01_200
    100 ,       20 ,        0.01 ,        500 , 948.1676941591196 ,6140.8             ,100_20_0.01_500
    100 ,       20 ,        0.05 ,        100 ,1461.7213251001074 ,5190.0             ,100_20_0.05_100
    100 ,       20 ,        0.05 ,        200 ,1924.5324540608892 ,6465.199999999999  ,100_20_0.05_200
    100 ,       20 ,        0.05 ,        500 ,1867.8574417383074 ,6371.6             ,100_20_0.05_500
    100 ,       20 ,        0.1  ,        100 ,2228.609639780037  ,7803.599999999999  ,100_20_0.1_100
    100 ,       20 ,        0.1  ,        200 ,2022.307043597227  ,5181.4             ,100_20_0.1_200
    100 ,       20 ,        0.1  ,        500 ,1997.0658362162715 ,6218.200000000001  ,100_20_0.1_500
    100 ,       30 ,        0.01 ,        100 ,1055.9124130783443 ,5791.2             ,100_30_0.01_100
    100 ,       30 ,        0.01 ,        200 ,1049.6044441330382 ,5759.2             ,100_30_0.01_200
    100 ,       30 ,        0.01 ,        500 , 988.2961683409719 ,6024.2             ,100_30_0.01_500
    100 ,       30 ,        0.05 ,        100 ,1603.1737717358494 ,5755.8             ,100_30_0.05_100
    100 ,       30 ,        0.05 ,        200 ,1717.7254945509007 ,6962.6             ,100_30_0.05_200
    100 ,       30 ,        0.05 ,        500 ,1592.6535667483674 ,6798.8             ,100_30_0.05_500
    100 ,       30 ,        0.1  ,        100 ,2162.968232036082  ,6631.4             ,100_30_0.1_100
    100 ,       30 ,        0.1  ,        200 ,2057.0246001992286 ,6835.799999999999  ,100_30_0.1_200
    100 ,       30 ,        0.1  ,        500 ,1822.7907553000757 ,6216.4             ,100_30_0.1_500
    200 ,       10 ,        0.01 ,        100 ,1197.9166444390958 ,6835.4             ,200_10_0.01_100
    200 ,       10 ,        0.01 ,        200 ,1301.2215828200046 ,6916.2             ,200_10_0.01_200
    200 ,       10 ,        0.01 ,        500 , 952.6306199194529 ,6052.0             ,200_10_0.01_500
    200 ,       10 ,        0.05 ,        100 ,1771.7206764799403 ,5995.4             ,200_10_0.05_100
    200 ,       10 ,        0.05 ,        200 ,1843.038241462134  ,6750.5999999999985 ,200_10_0.05_200
    200 ,       10 ,        0.05 ,        500 ,1785.6054363425872 ,5211.4             ,200_10_0.05_500
    200 ,       10 ,        0.1  ,        100 ,2020.6010115232152 ,6847.599999999999  ,200_10_0.1_100
    200 ,       10 ,        0.1  ,        200 ,1959.7116947808513 ,6876.4             ,200_10_0.1_200
    200 ,       10 ,        0.1  ,        500 ,2054.6763553007377 ,6863.8             ,200_10_0.1_500
    200 ,       20 ,        0.01 ,        100 ,1021.4087703070478 ,6854.000000000001  ,200_20_0.01_100
    200 ,       20 ,        0.01 ,        200 , 899.3941604883003 ,6255.999999999999  ,200_20_0.01_200
    200 ,       20 ,        0.01 ,        500 , 899.3941604883003 ,6255.999999999999  ,200_20_0.01_500
    200 ,       20 ,        0.05 ,        100 ,1666.0147978146497 ,5082.8             ,200_20_0.05_100
    200 ,       20 ,        0.05 ,        200 ,1924.9137251775403 ,4637.6             ,200_20_0.05_200
    200 ,       20 ,        0.05 ,        500 ,1903.8164619743038 ,6938.0             ,200_20_0.05_500
    200 ,       20 ,        0.1  ,        100 ,2109.727171849645  ,6320.4             ,200_20_0.1_100
    200 ,       20 ,        0.1  ,        200 ,1843.3906030709982 ,6359.0             ,200_20_0.1_200
    200 ,       20 ,        0.1  ,        500 ,2041.9652792485485 ,6906.0             ,200_20_0.1_500
    200 ,       30 ,        0.01 ,        100 , 958.0613745709597 ,7322.8             ,200_30_0.01_100
    200 ,       30 ,        0.01 ,        200 , 904.1547477144662 ,6320.0             ,200_30_0.01_200
    200 ,       30 ,        0.01 ,        500 , 904.1547477144662 ,6320.0             ,200_30_0.01_500
    200 ,       30 ,        0.05 ,        100 ,1816.111234990462  ,5712.0             ,200_30_0.05_100
    200 ,       30 ,        0.05 ,        200 ,1568.5101055977398 ,7405.599999999999  ,200_30_0.05_200
    200 ,       30 ,        0.05 ,        500 ,1693.1681811546096 ,6033.799999999999  ,200_30_0.05_500
    200 ,       30 ,        0.1  ,        100 ,1917.461614033364  ,6220.999999999999  ,200_30_0.1_100
    200 ,       30 ,        0.1  ,        200 ,1909.0437221840107 ,7237.6             ,200_30_0.1_200
    200 ,       30 ,        0.1  ,        500 ,1988.035353861904  ,5831.0             ,200_30_0.1_500
